essay_id,full_text,score,predicted_score,score_structure,score_grammar,score_development
9d21d81,"Everyone has their own opinions on everything. Some people would be for the driverless cars. Others may be against them. In my opinion I do not think we should have driverless cars.

To begin, at the end of paragraph 9 it says, ""If the technology fails and someone is injured, who is at faullt- the driver or the manufacturer?"" I think that if we get into an accident then the government would blame us for not paying attention or something but it could have been the cars fault for not telling us to take over soon enough or we did not feel the vibration of the car so we back into something. Also, if the car were to malfunction and not tell us to take over or do any of the things that the author tells us that the car does. Then if you were to almost back into an object the seat would vibrate, the google car tells us when to take over, and there are a few other options. Because in this case I think that the risk of us getting in more accidents are higher that way than what they would be if we drove on our own. Also, if we got in an accident there would be costs such as medical bills, insurance, and if it was your fault or the cars fault that you crashed into somone else you would have to pay to get their car fixed too.

Furthormore, If we had to just sit back and wait until the car tells us to take over we might fall asleep. If that was the case then there would cause a ratio of accidents. Also, I feel like it would be hard for the driver to pay attention to the road because they would be distracted by everything else that they could not see before if they were focused on the road like they would be in a normal car.

Lastly, It would cost so much money to get rid of every car invented now and upgrade them to the driverless car. Because our taxes would probably go up so that the govenment could get the money to pay for all the parts needed. So I think we should just keep it the way it is because money is an issue for a lot of us.

Everyone should take this into deep thought and realize how much of a mistake this would be to invent a driverless car and look at all the cons of driverless cars. Some people will still be for it just so they could sit back and relax at the wheel. Others see that there are a lot of cautions to driverless cars. I think everyone should be on the same page and say no to driverless cars.    ",4,3.0,3.0,3.0,3.0
b48701e,"This article introduces an idea of space exploration, specificaly to Venus. The author was bringing up the idea of studying Venus, which sounds fine untill you look into it more.

He says ""no spacecraft survived the landing for more than a few hours."" this is not very promising news, because the author wanted to put humans on the planet to study it. We could acheive the same things with a robot that people can acheive, and we dont need to risk lives. If a spacecraft cant make it more than a few hours neither can a human. Even if we try the blimp idea we couldent get the same data we could get with a robot. We could only study the planet's atmoshere. Some might say it would be better to wait for advances in spacecraft material so we could send things there and get data back before they got destroyed.

With the information the author brings forth with his passage studying Venus isnt worth the trouble yet. If we wait for new technoledgy we might be able to in the future.",2,3.0,3.0,3.0,3.0
2ba53eb,"i believe that its actually okay to use this tecnology, because why not i mean to me it seem like all that its doing is scanning your face no harm done to you or anything.Most people would probaly belive that this device could seem

dangerous if they dont add enough details about it, but im getting off task from the topic of this essay so yeah. Yeah im for using this tecnology in school because the teacher could be able to tell

if just by looking at a computer to see if the class is instrested in the matarial the teacher is teaching. That way they will be able to change their plan of attack while trying to teach the class how to do the work. and there is just so many benifits with this teconolgy, teairler the artical said tha they could even be use to tell if someone like a major celebrity or politician is lying so just imagaing how far this teconolgy could go just by scanning you face to see how your feeling or even just to see if your lying all just from your faical expressions.",2,2.0,2.0,2.0,2.0
8377d52,"I personally think that we should work to achieve the goal of driverless cars. If we were to have driverless cars, there would be far less traffic accidents. There would be no reason to need to get a speeding ticket and it would save the mojourity of people a significate amount of money. Like it said in the passage it would half the fuel needed. I agree with their argument accept for the fact that the passage stated that it should be only puplic transportation.

The fact that google has a car that is opperated by a computer most of the time shows that we are well on our way to achiving the goal of driverless vehicals. Even though there are times that you have to drive yourself, it is very close.

The problem with having autonomous vehicals is that they would not have the same capibalities as a person. The are times that ther are paths or roads are not able to be driven except by a person. If the road is badly damaged, you can't drive normally or you will have the risk of damaging your car and needing alot of money to repair it.

In conclusion, I think that we should further advance towards the goal of driverless vehicals but keep the availabillty to give the driver a choice if they want to drive themselves.",2,3.0,3.0,3.0,3.0
8be1708,"In the article Making Mona Lisa Smile, the ariticle states, "" She's 83 percent happy, 9 percent disgusted, 6 percent fearful, 2 percent angry.""

The value of using the technology to read read students' emotional expressions is a good thing. in the the text it states, ""The facial expressions for each emotion are universal."" Each muscle has a different job to do in the artical one of the examples that is given it the orbicularis oris muscle. This muscle is aroound your mouth and it tightens when you get angry.

""Eckaman has classifiied six basic emotion- happiness, surprise,anger, disgust, and sadness- and then associated with characteristic movements of the the facial muscles."" All muscles are different, each muscle controls a different part of the face. In the article, "" The process begins when the computer constructs a 3-D computer model of the face; all 44 major muscles in the model musr move like human muscles."" People show various amount of facial expressions and by using this technology researchers can tell what peoples emotions are.

In this study of facial expressions researchers found out that there are many types of facial expressions.

The subjest of Leonardo da Vinci's painting of Mona Lisa during the Renaissance is a major topic of this research. Mona Lisa shows four emotions: happy, disgust, fear, and anger. The software that Dr. Paul Eckman has created known as FACS which stands for Facial Action Coding System. The FACS can recogmize all of Mona Lisa's emotions.   ",2,3.0,3.0,2.0,3.0
309eb02,"The author suggests that Venus would be a worth-while investment, thus might bring in interesting facts about our Sister Planet. Hence NASA and our government will make a lot of money for bringing in crucial information about Venus. From here on in there will be many facts on why exploring Venus will be a worth-while investment.

Venus, also known as the ""Evening Star"", since it is so easy to see at night, and our ""Sister Planet"", is a very difficult place to study. The size of Venus is why it is known as our Sister Planet, it has almost the same density, mass, and size of Earth. But on the contrast, its atmosphere is very different from ours. The atmosphere on the planet has many storms that are highly electrical ,hence, lightning can strike a craft out of the sky. And the atmosphere is made up of 97% carbon dioxide. The blankets of carbon dioxide make it hard to see into the planet. The clouds of carbon dioxide on the planet are highly corrosive because of sulfuric acid. Any craft made of any type of metal will melt in about roughly 2-3 days depending on the size of the craft. The Atmospheric pressure on the planet is about 90 times greater than we experience on Earth. The temperature on the ground averages over 800 degrees Farenheit.

But NASA has developed an idea that might truely get humans close to Venus to be able to study it. NASA says that they could send a craft to float or hover about 30 or so miles above the surface to escape the harsh Venusian storms and landscape. At thirty miles above the surface it would be around 170 degrees Farenheit and the pressure that high would be somewhat like sea level here on Earth. Solar power would also be beneficial for power and radiation would not exceed what we experience on Earth. But because of the dense clouds not letting most light forms into the inner atmosphere it would hinder insight of the surface. Thus rendering the photography and videography unavailable. They plan to use mechanical computers that run because of gears and levers and would not require electronics. These forms of computers were used during World War II because they did not require electricity and how they are capable of withstanding much punishment from harsh conditions.

This concludes how it would be a worth-while pursuit to study Venus, and how NASA will help with the studying of our Sister Planet. ",3,3.0,3.0,3.0,3.0
be6041f,"The Electoral College

Dear Mr. Nixon

I think as a citizen of Flordia that the Electoral College should not be apart of our states voting rights because the people voteing do not have a direct vote to the president. Our state just like many others have a ""Winner-takes-all system that awards all electors to the winning presidential candidate."" Every election is a unfair election because the people dont get to directly vote for the president.

""What have Richard Nixon, Jimmy Carter, Bob Dole, the U.S. Chamber of Commerce, and the AFL-CIO all, in their time, agreed on? Answer: Abolishing the electoral college!"" This is proof that not only basic people of the USA think the electoral college should not exit but people who have been important to this country and other commities.

When voting through the electoral college voters dont vote for the president they vote for a slate of eloctors who then elect the president. Which is not right to the people who do vote an the people running for president, plus its wrong to the country because everyone has the right as a US citizen to elect a president but there not actually voting for the president.

""At the most basic level, the electoral college is unfair to voters. Because of the winner-takes-all system in each state, candidates dont spend time in states they know they have no chance of winning, focusing only on the tight races in the ""swing"" states."" This is again more proof that the elecooral college is unfair to all the U.S voters.

""Its official: The electoral college is unfair, outdated, and irrational. The best argument in favor of it are mostly assertions without much basis in reality. And the arguments against direct elections are spurious at best. Its hard to say this, but Bob Dole was right: Abolish the electoral college."" The electoral college is something that should be taken out of the electing process because it dosent give us as U.S citizens our exact rights to vote for president because its the electors who elect the president not the people.            ",3,3.0,2.0,3.0,3.0
72ec29e,"Have you ever went on a camp out in the woods? Have you ever went camping out on water but for about 2 months? Now you can there is a progm that helps animals go to a different country. There are animals that need fed and you can do every night or even be a look out for whats coming ahead. The trip is fun but dangerous. You have to go on a boat that moves back and fourth. The fun part is that you can stay up all night and you get to never wake up unless its your job to feed the animals.

Luke's claims are having fun and being with his best friend. Luke also knew it would be a lif time opportunity. Luke was watching out for ahead and checking on the animals then he went to tell captin that when the ladder was wet and slippery. Luke fell and his heart pounding like a hammer. Luke was almost dead but he wasn't he broke a couple of ribs but hes fine he and work for a couple of days.

I dont know if i would join sounds fun too. Joining the prograhm was to help for world war ll also. The war was tough because there was a lot of stuff ruined by it too world war ll was a desaster but we thank the people that were in it. If you do join the progrhm they call you ""A Seagoing Cowboy"". Luke and his friend were happy that they were still alive. ",2,3.0,2.0,3.0,3.0
062455d,"The studying of Venus is a worthy pursuit despite the dangers it presents. The studys of Venus has almost the same features of Earth, using old technology that could help, and might danger humans.

One of the reason studying of Venus is a worthy prusuit despite the danger it presents because it might almost- like features of Earth, but its hard to get close to Venus to see if its true. For example,"" On the planet's surface, temperatures average over 800 degress Fahrennheit, and the atmospheric pressure is 90 times greater than whatwe experience on our own planet""(3). This explain that its too dangers to see if Venus has almost the same the features of planet Earth.

Another reason worthy prusuit depite the danger is using old technology fromt he pass. From the article,"" the thought of computers existing in those days may sound shocking, but these devices make calculations by using gears and lever and do not require electronies at all"" (7). This quite says that even tho NASA might use old technology from the past that technology don't require electronies from today. It's hard to use old technologly from the past with new things.

The author of ""The Challenge of Exploring Venus"" that studying Venus is worthy pursuit depite the dangers it presents. Useing old technology and seeing if Venus has almost the same featuresas Earth.      ",3,3.0,3.0,3.0,3.0
9953a42,"In America,people get into crashes everyday, some fatal or some with minimal damage. Some crashes are caused by people's own stupidity, reckless driving, or distractions like using their phone or staring at something outside. People should use driverless cars because there will be less accidents, more safety, and people can go wherever they want without the distractons of a GPS or map.

In the new driverless car it is said that a 3-D laser will be constantly updating the car's surroundings and that it can mimic the skill of a human being. Most accidents are from drunk driving so if a person is intoxicated and must take the car home they can use the car without having to actually drive and more people will be safe. It is also said that sensors can detect and respond to the dangers of skidding or rolling over because of the computer hardware and aoftware so if anyone is close to an accident, they won't have to worry because of the sensors. Lastley, when people use a GPS or a map it can either break down and have a glitch or just get in the way of driving. With the new car all people do is put the address in once and off they go to their destination without having to worry about what will happen if it breaks down.

In conclusion, people should have driverless cars because there will be less accident, more safety, and not having to worry about a GPS or a map. Future technology is coming and there will be a better future so more lives will be spared from the manual use of a human behind a wheel. Parents will feel more safe about their children in the street and not having to think about what's going on with the driver. Embrace the future technology and don't be afraid of a new dawn and era.",3,3.0,3.0,3.0,3.0
